x;y;date
3721;26;07/05/2018
3896;41;08/05/2018
3865;27;09/05/2018
3874;40;10/05/2018
3762;28;11/05/2018
1818;16;12/05/2018
2500;18;13/05/2018
4197;21;14/05/2018
3893;19;15/05/2018
4237;27;16/05/2018
3604;35;17/05/2018
3717;28;18/05/2018
2112;20;19/05/2018
2269;26;20/05/2018
4203;31;21/05/2018
4043;35;22/05/2018
5006;43;23/05/2018
3852;33;24/05/2018
3676;29;25/05/2018
2353;26;26/05/2018
2230;29;27/05/2018
3974;38;28/05/2018
3934;44;29/05/2018
5054;34;30/05/2018
3945;40;31/05/2018
3482;42;01/06/2018
1882;33;02/06/2018
2252;25;03/06/2018
4526;33;04/06/2018
4288;39;05/06/2018
4241;32;06/06/2018
4532;44;07/06/2018
4140;33;08/06/2018
2041;23;09/06/2018
2434;29;10/06/2018
4618;46;11/06/2018
4785;51;12/06/2018
4669;44;13/06/2018
4434;36;14/06/2018
3881;30;15/06/2018
2182;28;16/06/2018
2307;26;17/06/2018
4514;27;18/06/2018
4792;23;19/06/2018
4886;36;20/06/2018
4566;40;21/06/2018
3924;34;22/06/2018
1831;18;23/06/2018
2319;20;24/06/2018
4474;36;25/06/2018
4214;32;26/06/2018
4462;31;27/06/2018
3967;35;28/06/2018
3608;28;29/06/2018
1900;20;30/06/2018
2028;11;01/07/2018
4260;31;02/07/2018
3769;37;03/07/2018
4043;38;04/07/2018
3946;42;05/07/2018
3084;21;06/07/2018
1659;16;07/07/2018
1983;24;08/07/2018
4267;44;09/07/2018
4154;43;10/07/2018
4443;30;11/07/2018
3969;29;12/07/2018
3927;30;13/07/2018
2049;26;14/07/2018
1933;22;15/07/2018
4410;28;16/07/2018
4298;30;17/07/2018
5035;36;18/07/2018
4439;39;19/07/2018
4039;34;20/07/2018
2099;23;21/07/2018
2302;28;22/07/2018
4794;35;23/07/2018
4395;45;24/07/2018
4563;42;25/07/2018
4077;42;26/07/2018
3814;28;27/07/2018
1983;21;28/07/2018
2333;20;29/07/2018
4583;29;30/07/2018
4215;44;31/07/2018
3873;45;01/08/2018
